"filename", "language", "Dart", "comment", "blank", "total"
"c:\Users\vittorio\Documents\VS Code\counterspell\lib\models\random\dice_type.dart", "Dart", 18, 0, 7, 25
"c:\Users\vittorio\Documents\VS Code\counterspell\lib\models\random\throw.dart", "Dart", 10, 0, 2, 12
"c:\Users\vittorio\Documents\VS Code\counterspell\lib\models\random\throw_type.dart", "Dart", 15, 0, 5, 20
"c:\Users\vittorio\Documents\VS Code\counterspell\lib\models\tutorial\hint.dart", "Dart", 66, 1, 13, 80
"c:\Users\vittorio\Documents\VS Code\counterspell\lib\models\tutorial\tutorial.dart", "Dart", 13, 0, 6, 19
"c:\Users\vittorio\Documents\VS Code\counterspell\lib\models\ui_model\all.dart", "Dart", 3, 0, 0, 3
"c:\Users\vittorio\Documents\VS Code\counterspell\lib\models\ui_model\colors\all.dart", "Dart", 3, 0, 0, 3
"c:\Users\vittorio\Documents\VS Code\counterspell\lib\models\ui_model\colors\colors.dart", "Dart", 47, 9, 10, 66
"c:\Users\vittorio\Documents\VS Code\counterspell\lib\models\ui_model\colors\resolvable_color.dart", "Dart", 287, 0, 44, 331
"c:\Users\vittorio\Documents\VS Code\counterspell\lib\models\ui_model\colors\themes.dart", "Dart", 247, 1, 19, 267
"c:\Users\vittorio\Documents\VS Code\counterspell\lib\models\ui_model\settings\all.dart", "Dart", 1, 0, 1, 2
"c:\Users\vittorio\Documents\VS Code\counterspell\lib\models\ui_model\settings\time_mode.dart", "Dart", 28, 0, 6, 34
"c:\Users\vittorio\Documents\VS Code\counterspell\lib\models\ui_model\shadows\all.dart", "Dart", 1, 0, 0, 1
"c:\Users\vittorio\Documents\VS Code\counterspell\lib\models\ui_model\shadows\shadows.dart", "Dart", 9, 0, 3, 12
"c:\Users\vittorio\Documents\VS Code\counterspell\lib\utils\all.dart", "Dart", 2, 0, 0, 2
"c:\Users\vittorio\Documents\VS Code\counterspell\lib\utils\durations.dart", "Dart", 32, 0, 2, 34
"c:\Users\vittorio\Documents\VS Code\counterspell\lib\utils\numbers.dart", "Dart", 42, 0, 9, 51
"c:\Users\vittorio\Documents\VS Code\counterspell\lib\widgets\alerts\all.dart", "Dart", 1, 0, 0, 1
"c:\Users\vittorio\Documents\VS Code\counterspell\lib\widgets\alerts\specifics\all.dart", "Dart", 4, 0, 0, 4
